PUNTO;PERIODO;AÑO;MES;FECHA;ENTRADA_m3;SALIDA_m3;PERDIDAS_m3;INDICE_PERDIDAS_%;ES_PRONOSTICO
VALVULA_1;202407;2024;7;2024-07-01;66,5;;;;False
VALVULA_1;202408;2024;8;2024-08-01;405,53;;;;False
VALVULA_1;202409;2024;9;2024-09-01;334,21;377,79;-43,58;-0,13;False
VALVULA_1;202410;2024;10;2024-10-01;428,15;443,82;-15,68;-0,04;False
VALVULA_1;202411;2024;11;2024-11-01;414,74;430,23;-15,49;-0,04;False
VALVULA_1;202412;2024;12;2024-12-01;399,51;407,89;-8,38;-0,02;False
VALVULA_1;202501;2025;1;2025-01-01;472,57;483,64;-11,07;-0,02;False
VALVULA_1;202502;2025;2;2025-02-01;266,41;272,9;-6,49;-0,02;False
VALVULA_1;202503;2025;3;2025-03-01;;457,42;;;False
VALVULA_1;202504;2025;4;2025-04-01;;486,56;;;False
VALVULA_1;202505;2025;5;2025-05-01;;387,5;;;False
VALVULA_1;202506;2025;6;2025-06-01;;502,1;;;False
VALVULA_1;202507;2025;7;2025-07-01;;557,43;;;False
VALVULA_1;202508;2025;8;2025-08-01;363,53;505,6;-142,07;-39,08;True
VALVULA_1;202509;2025;9;2025-09-01;366,77;505,6;-138,83;-37,85;True
VALVULA_1;202510;2025;10;2025-10-01;368,03;596,55;-228,52;-62,09;True
VALVULA_1;202511;2025;11;2025-11-01;367,67;562,88;-195,21;-53,09;True
VALVULA_2;202405;2024;5;2024-05-01;1346,87;;;;False
VALVULA_2;202406;2024;6;2024-06-01;2246,85;;;;False
VALVULA_2;202407;2024;7;2024-07-01;2784,44;2542,8;241,64;0,09;False
VALVULA_2;202408;2024;8;2024-08-01;1837,52;2148,64;-311,12;-0,17;False
VALVULA_2;202409;2024;9;2024-09-01;2380,57;2178,35;202,22;0,08;False
VALVULA_2;202410;2024;10;2024-10-01;2312,88;2230,32;82,56;0,04;False
VALVULA_2;202411;2024;11;2024-11-01;1924,09;1714,56;209,53;0,11;False
VALVULA_2;202412;2024;12;2024-12-01;1731,47;1494,09;237,38;0,14;False
VALVULA_2;202501;2025;1;2025-01-01;2005,95;1904,38;101,57;5,06;True
VALVULA_2;202502;2025;2;2025-02-01;1968,76;1735,92;232,84;11,83;True
VALVULA_2;202503;2025;3;2025-03-01;2137,69;2360,55;-222,86;-10,43;True
VALVULA_2;202504;2025;4;2025-04-01;2065,05;2709,14;-644,09;-31,19;True
VALVULA_2;202505;2025;5;2025-05-01;2163,91;3489,91;-1326,0;-61,28;True
VALVULA_2;202506;2025;6;2025-06-01;2185,01;3381,59;-1196,58;-54,76;True
VALVULA_2;202507;2025;7;2025-07-01;2187,16;2577,55;-390,39;-17,85;True
VALVULA_2;202508;2025;8;2025-08-01;2002,34;1584,59;417,75;20,86;True
VALVULA_2;202509;2025;9;2025-09-01;2163,77;3630,17;-1466,4;-67,77;True
VALVULA_2;202510;2025;10;2025-10-01;2134,58;3124,21;-989,63;-46,36;True
VALVULA_2;202511;2025;11;2025-11-01;1959,76;1656,12;303,64;15,49;True
VALVULA_3;202501;2025;1;2025-01-01;10640,1;;;;False
VALVULA_3;202502;2025;2;2025-02-01;23241,2;;;;False
VALVULA_3;202503;2025;3;2025-03-01;21778,3;24800,21;-3021,91;-0,14;False
VALVULA_3;202504;2025;4;2025-04-01;27637,57;28208,26;-570,69;-0,02;False
VALVULA_3;202505;2025;5;2025-05-01;35938,86;36357,73;-418,87;-0,01;False
VALVULA_3;202506;2025;6;2025-06-01;28012,1;28126,59;-114,49;-0,0;False
VALVULA_3;202507;2025;7;2025-07-01;27833,36;33540,2;-5706,84;-20,5;True
VALVULA_3;202508;2025;8;2025-08-01;27077,81;29788,74;-2710,93;-10,01;True
VALVULA_3;202509;2025;9;2025-09-01;27333,47;30897,53;-3564,06;-13,04;True
VALVULA_3;202510;2025;10;2025-10-01;27833,36;32674,84;-4841,48;-17,39;True
VALVULA_3;202511;2025;11;2025-11-01;27077,81;30485,18;-3407,37;-12,58;True
VALVULA_4;202406;2024;6;2024-06-01;12598,91;;;;False
VALVULA_4;202407;2024;7;2024-07-01;29089,06;;;;False
VALVULA_4;202408;2024;8;2024-08-01;28590,18;28680,31;-90,14;-0,0;False
VALVULA_4;202409;2024;9;2024-09-01;28333,48;28725,21;-391,73;-0,01;False
VALVULA_4;202410;2024;10;2024-10-01;32602,03;33515,96;-913,93;-0,03;False
VALVULA_4;202411;2024;11;2024-11-01;28220,35;33556,24;-5335,89;-0,19;False
VALVULA_4;202412;2024;12;2024-12-01;26927,64;34177,35;-7249,71;-26,92;True
VALVULA_4;202501;2025;1;2025-01-01;24097,37;33791,18;-9693,81;-40,23;True
VALVULA_4;202502;2025;2;2025-02-01;23549,88;22252,93;1296,95;5,51;True
VALVULA_4;202503;2025;3;2025-03-01;24518,59;35470,79;-10952,2;-44,67;True
VALVULA_4;202504;2025;4;2025-04-01;23587,97;31073,44;-7485,47;-31,73;True
VALVULA_4;202505;2025;5;2025-05-01;23698,79;29397,88;-5699,09;-24,05;True
VALVULA_4;202506;2025;6;2025-06-01;23687,54;28236,34;-4548,8;-19,2;True
VALVULA_4;202507;2025;7;2025-07-01;26101,77;33973,09;-7871,32;-30,16;True
VALVULA_4;202508;2025;8;2025-08-01;26416,21;30554,63;-4138,42;-15,67;True
VALVULA_4;202509;2025;9;2025-09-01;27023,13;32370,0;-5346,88;-19,79;True
VALVULA_4;202510;2025;10;2025-10-01;27523,61;34342,15;-6818,53;-24,77;True
VALVULA_4;202511;2025;11;2025-11-01;27386,59;39198,66;-11812,07;-43,13;True
VALVULA_5;202407;2024;7;2024-07-01;831,4;;;;False
VALVULA_5;202408;2024;8;2024-08-01;4334,42;;;;False
VALVULA_5;202409;2024;9;2024-09-01;4432,4;4666,73;-234,34;-0,05;False
VALVULA_5;202410;2024;10;2024-10-01;4743,0;4702,39;40,61;0,01;False
VALVULA_5;202411;2024;11;2024-11-01;4503,27;4964,73;-461,45;-10,25;True
VALVULA_5;202412;2024;12;2024-12-01;4503,27;4491,9;11,38;0,25;True
VALVULA_5;202501;2025;1;2025-01-01;4503,27;4818,86;-315,58;-7,01;True
VALVULA_5;202502;2025;2;2025-02-01;4503,27;4935,42;-432,15;-9,6;True
VALVULA_5;202503;2025;3;2025-03-01;4503,27;4866,24;-362,97;-8,06;True
VALVULA_5;202504;2025;4;2025-04-01;4503,27;4944,44;-441,17;-9,8;True
VALVULA_5;202505;2025;5;2025-05-01;4503,27;4845,26;-341,99;-7,59;True
VALVULA_5;202506;2025;6;2025-06-01;4503,27;5483,76;-980,48;-21,77;True
VALVULA_5;202507;2025;7;2025-07-01;4503,27;4925,48;-422,21;-9,38;True
VALVULA_5;202508;2025;8;2025-08-01;4503,27;5105,86;-602,58;-13,38;True
VALVULA_5;202509;2025;9;2025-09-01;4503,27;4679,1;-175,82;-3,9;True
VALVULA_5;202510;2025;10;2025-10-01;4503,27;4994,5;-491,22;-10,91;True
VALVULA_5;202511;2025;11;2025-11-01;4503,27;5177,0;-673,73;-14,96;True
